###############################
######         �         ######
###############################
0003=آي - الحرف الأول في اللغة الإنجليزية {a}
9317=أداة تعريف {an}
9f14-3c9e=إدخل {enter}
3db9-02a8-2ca8-208c=السرّ {secret}
23a3=الـ {the}
309b-2ca0-21a8=القصر {palace}
2888-1c12=القوّة {power}
a08e-9f10=المادة {item}
2da8-3c9d=المدينة {city}
93b3-1eb4-0304-3c96=المغامرة {adventure}
9f17=الملك {own}
0ea0-20a0-208c=بنى {built}
33b3-208c=ذلك {that}
0c0c-2cac-0304=ضمن {within}
2288-20a9-208c=عظيم {great}
###############################
######         �         ######
###############################
1f17=لا {no}
82a7=له {have}
2ca0-02a4-03a0=معيش {lived}
23a1=هم {they}
3bb0=هناك {there}
9317-03a0=و {and}
2988-0304-03a0=وجد {found}
3db8-22a4=يرى {sees}
