###############################
######                   ######
###############################
9317= {an}
0003= {a}
0ea0-20a0-208c= {built}
2ca0-02a4-03a0= {lived}
3db8-22a4= {sees}
23a3= {the}
###############################
######         �         ######
###############################
2888-1c12=власт/си́ла/мо́щност/увеличе́ние/сте́пен {power}
9f14-3c9e=вли́зам {enter}
2da8-3c9d=град {city}
309b-2ca0-21a8=дворе́ц {palace}
9317-03a0=и {and}
82a7=и́мам {have}
1f17=не {no}
a08e-9f10=обект/параграф/пункт {item}
0c0c-2cac-0304=отвътре {within}
2288-20a9-208c=отли́чен/вели́к/вели́к {great}
93b3-1eb4-0304-3c96=приключе́ние/авантю́ра/авантю́ра/авантю́ра {adventure}
###############################
######         �         ######
###############################
9f17=свой {own}
2988-0304-03a0=създавам/основавам {found}
3db9-02a8-2ca8-208c=та́ен {secret}
3bb0=там/там/ната́м {there}
23a1=те {they}
33b3-208c=толкова {that}
