###############################
######                   ######
###############################
0ea0-20a0-208c= {built}
2ca0-02a4-03a0= {lived}
3db8-22a4= {sees}
###############################
######         �         ######
###############################
9f17=अपना {own}
9317=एक {an}
0003=एक {a}
9317-03a0=और {and}
1f17=कुछ~भी~नहीं/नहीं{अनुमत}/विरुद्ध~मत {no}
3db9-02a8-2ca8-208c=गुप्त/छिपकर {secret}
93b3-1eb4-0304-3c96=जोखिम~भरा~अनुभव {adventure}
82a7=पास होना {have}
2288-20a9-208c=बड़ा {great}
0c0c-2cac-0304=भीतर {within}
9f14-3c9e=भीतर~आना {enter}
a08e-9f10=मद/विषय {item}
309b-2ca0-21a8=महल {palace}
23a3=वह {the}
33b3-208c=वह[निर्धारक~अर्थ~में]. {that}
3bb0=वहाँ~पर/वह{क्रिया~शब्दों~के~साथ~बल~देने~के~लिए} {there}
23a1=वे {they}
2da8-3c9d=शहर {city}
2888-1c12=सामर्थ्य/शक्ति/अधिकार/सत्ता/प्रभावशाली/विद्युत् शक्ति/घात/ऊर्जा {power}
2988-0304-03a0=स्थापना~करना {found}
