###############################
######                   ######
###############################
9317= {an}
0ea0-20a0-208c= {built}
2ca0-02a4-03a0= {lived}
3db8-22a4= {sees}
###############################
######         A         ######
###############################
23a3=adj.1 + れば + adj.1 程 + adj.2 {the}
###############################
######         �         ######
###############################
33b3-208c=あれ/程 {that}
2288-20a9-208c=すばらしい/大王/偉大/偉大 {great}
3bb0=そこ/あそこへ {there}
0c0c-2cac-0304=の中に/以内 {within}
9317-03a0=アンド {and}
0003=エー {a}
2da8-3c9d=シティ {city}
###############################
######         �         ######
###############################
9f14-3c9e=入る {enter}
93b3-1eb4-0304-3c96=冒険/冒険/投機 {adventure}
2888-1c12=列強/力/勢力/倍率/力/電力/仕事率/乗/能天使 {power}
309b-2ca0-21a8=宮殿 {palace}
23a1=彼ら/あの人 {they}
###############################
######         �         ######
###############################
2988-0304-03a0=打ち立てる/基礎 {found}
82a7=持つ {have}
###############################
######         �         ######
###############################
3db9-02a8-2ca8-208c=秘密 {secret}
###############################
######         �         ######
###############################
9f17=自身 {own}
###############################
######         �         ######
###############################
a08e-9f10=項目/アイテム {item}
1f17=駄目/ありません {no}
