###############################
######                   ######
###############################
9317= {an}
0ea0-20a0-208c= {built}
2ca0-02a4-03a0= {lived}
3db8-22a4= {sees}
###############################
######         �         ######
###############################
2da8-3c9d=Си́ти {city}
0003=Т {a}
9f14-3c9e=ввод {enter}
2288-20a9-208c=великоле́пный/вели́кий/большо́й {great}
a08e-9f10=вещь/позиция/пара/заме́тка {item}
2888-1c12=власть/власть/власть/держа́ва/мо́щность/мощь/пита́ние/мо́щность/сте́пень {power}
0c0c-2cac-0304=внутри́ {within}
1f17=воспрещаться/нет {no}
309b-2ca0-21a8=дворе́ц {palace}
9317-03a0=и/и {and}
82a7=име́ть/име́ть {have}
33b3-208c=насто́лько {that}
23a1=они́/они́ {they}
2988-0304-03a0=осно́вывать/осно́вывать {found}
93b3-1eb4-0304-3c96=приключе́ние/приключе́ние/авантю́ра/приключе́ние {adventure}
###############################
######         �         ######
###############################
9f17=свой {own}
3db9-02a8-2ca8-208c=та́йный {secret}
3bb0=там/туда́/есть {there}
23a3=чем + comp., тем + comp. {the}
