###############################
######                   ######
###############################
0ea0-20a0-208c= {built}
2ca0-02a4-03a0= {lived}
3db8-22a4= {sees}
###############################
######         [         ######
###############################
a08e-9f10=[[#/物件/分数 {item}
###############################
######         �         ######
###############################
9317=一个 {an}
0003=一个 {a}
1f17=不 {no}
9317-03a0=与 {and}
23a3=之/该 {the}
23a1=他们 {they}
0c0c-2cac-0304=以內/前 {within}
###############################
######         �         ######
###############################
93b3-1eb4-0304-3c96=冒險 {adventure}
2988-0304-03a0=办 {found}
2888-1c12=功率 {power}
2da8-3c9d=城市 {city}
309b-2ca0-21a8=宫殿 {palace}
2288-20a9-208c=幻想的/有名 {great}
###############################
######         �         ######
###############################
82a7=有 {have}
###############################
######         �         ######
###############################
3db9-02a8-2ca8-208c=秘密 {secret}
###############################
######         �         ######
###############################
9f17=自己的 {own}
###############################
######         �         ######
###############################
9f14-3c9e=進入 {enter}
33b3-208c=那/假如 {that}
3bb0=那里 {there}
